id,start_date,start_time,_type,end_date,end_time,primary_organizer_id,primary_organizer.name,name,summary,primary_venue.name,primary_venue.address.longitude,primary_venue.address.latitude,primary_venue.address.localized_address_display
190956073757,2022-05-20,09:00,destination_event,2022-05-20,17:00,12695726318,Mangates,"Cyber Security Overview 1 Day Training in Indianapolis, IN",Our classroom training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,"Regus - Indiana, Indianapolis - The Precedent",-86.10077419999999,39.9249883,"9465 Counselors Row Washington Township, Suite 200, Indianapolis, IN 46240"
147885705125,2022-05-21,12:00,destination_event,2022-05-21,14:00,32904201311,Armand Dixon,Weekly Bible Class,We believe and teach the ENTIRE bible from Genesis to Revelations. We consider ourselves bible christians who believe in Jesus Christ,4713 Shadeland Ave,-86.04564769999999,39.84265509999999,"4713 Shadeland Avenue, Indianapolis, IN 46226"
166825400263,2022-06-03,11:00,destination_event,2022-06-03,14:00,6165847909,AnalyticsWEEK,#Data #FirstFridayFair Virtual Job Fair / Career Expo Event #Indianapolis,Attend World's Largest Virtual Job Expo / Career Fair #FirstFridayFair at https://fff.analyticsweek.com/jobexpo,Virtual Event [Online Only],-86.15737089999999,39.7713425,"Virtual Event Only, Indianapolis, IN 46204"
146604398703,2022-05-27,09:00,destination_event,2022-05-27,17:00,32651446325,Instil-Learning,"Change Management certification Training In Indianapolis, IN",Change Management Certification Training by Industry Experts,"Indianapolis, IN",-86.15047349999999,39.9283129,"Regus Business Centre/Hotel, Indianapolis, IN 46077"
147582275559,2022-05-24,09:00,destination_event,2022-05-24,17:00,32651446325,Instil-Learning,"PMP Certification Training In Indianapolis, IN",Project Management Professional (PMP) Certification Training,"Indianapolis, IN",-86.15047349999999,39.9283129,"Regus Business Centre/Hotel, Indianapolis, IN 46077"
160913880749,2022-06-01,12:00,destination_event,2022-06-01,17:00,4782552149,Cosmetic Medical Training,Monthly Botox & Dermal Filler Training Certification - Indianapolis,"Our Indianapolis, Indiana Trainer will come to your office to train you on how to inject Botox® and Dermal Fillers during any day this month",Indianapolis,-86.1539152,39.9315131,"201 Pennsylvania Pkw, Indianapolis, IN 46280"
146737841835,2022-05-26,09:00,destination_event,2022-05-26,17:00,32651446325,Instil-Learning,"CSM (Certified Scrum Master) certification Training In Indianapolis, IN",CSM (Certified ScrumMaster) Certification Training - Become an exceptional Scrum Master with real-time Scrum activities and simulations,"Indianapolis, IN",-86.15047349999999,39.9283129,"Regus Business Centre/Hotel, Indianapolis, IN 46077"
179723356397,2022-05-20,09:00,destination_event,2022-05-20,17:00,12695726318,Mangates,"Event Planning 1 Day Training in Indianapolis, IN",Our classroom training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,"Regus - Indiana, Indianapolis - The Precedent",-86.1009742,39.9249343,"9465 Counselors Row Washington Township, Suite 200, Indianapolis, IN 46240"
177965699197,2022-05-20,09:00,destination_event,2022-05-20,17:00,12695726318,Mangates,"Risk Assessment 1 Day Training in Indianapolis, IN",Our classroom training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,"Regus - Indiana, Indianapolis - The Precedent",-86.10077419999999,39.9249883,"9465 Counselors Row Washington Township, Suite 200, Indianapolis, IN 46240"
144638486607,2022-05-27,09:00,destination_event,2022-05-27,17:00,32651446325,Instil-Learning,"Conflict Management Certification Training in Indianapolis, IN",Conflict Management Training By Industry Expert,"Indianapolis, IN",-86.10166989999999,39.9173071,"Regus Business Centre/Hotel, Indianapolis, IN 46077"
166958574591,2022-06-03,11:00,destination_event,2022-06-03,14:00,8281910380,TAO.ai,#Qampus Virtual Job Fair/Career Expo #College#University Event#Indianapolis,Attend World's Largest Virtual Job Expo / Career Fair #College #University #Indianapolis at https://qampus.co/we/jobfair,Virtual Event Only,-86.15737089999999,39.7713425,"Virtual Event Only, Indianapolis, IN 46204"
163623180337,2022-05-24,09:00,destination_event,2022-05-24,17:00,33691800179,IcertPlanner LLC,"CAPM Certification Training in Indianapolis, in",CAPM 4 Days Certification Training,"Indianapolis, IN",-86.1586119,39.7696748,"Business Center\Hotel, Indianapolis, IN, IN 46209"
170543494182,2022-05-17,13:00,destination_event,2022-05-17,14:00,32868299747,Happily Ever After Relationship Coaching,Love Your Relationship Again - Painlessly - Indianapolis,I can help YOU reconnect to the love you once shared with your partner...even if they don't want to put the work in.,Indianapolis,-86.158068,39.768403,"Virtual via Zoom, Indianapolis, IN 46077"
